result,table,_start,_stop,_time,_measurement,session_id,source,register,value,layer
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:36:57.892408+00:00,forced_writes,b8e88bbd,modbus_write,100,325.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:37:03.897632+00:00,forced_writes,b8e88bbd,modbus_write,100,329.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:37:09.903067+00:00,forced_writes,b8e88bbd,modbus_write,100,333.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:37:15.908563+00:00,forced_writes,b8e88bbd,modbus_write,100,337.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:37:21.914105+00:00,forced_writes,b8e88bbd,modbus_write,100,341.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:37:27.917917+00:00,forced_writes,b8e88bbd,modbus_write,100,345.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:58:46.133033+00:00,forced_writes,b8e88bbd,modbus_write,100,300.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:15:22.968171+00:00,forced_writes,b8e88bbd,modbus_write,200,2800.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:15:23.972586+00:00,forced_writes,b8e88bbd,modbus_write,201,200.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:15:38.976258+00:00,forced_writes,b8e88bbd,modbus_write,200,1200.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:15:38.981196+00:00,forced_writes,b8e88bbd,modbus_write,201,500.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:30:11.971911+00:00,forced_writes,b8e88bbd,modbus_write,200,2400.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:30:12.976175+00:00,forced_writes,b8e88bbd,modbus_write,201,50.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:30:18.982032+00:00,forced_writes,b8e88bbd,modbus_write,200,1200.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:30:18.987259+00:00,forced_writes,b8e88bbd,modbus_write,201,500.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:00:09.913942+00:00,forced_writes,b8e88bbd,modbus_write,200,3000.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:00:10.917987+00:00,forced_writes,b8e88bbd,modbus_write,201,200.0,
