result,table,_start,_stop,_time,_measurement,event_type,kill_chain_stage,mitre_tactic,mitre_technique_id,mitre_technique_name,protocol,purdue_level,source_ip,func_code,phys_flow,phys_pressure,register,value
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:10:56.258502+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,201,500
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:41:51.253021+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,200,3000
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:41:52.257203+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,201,0
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:42:02.262860+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,200,1200
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:42:02.272269+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,201,500
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:05:22.625353+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,200,2800
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:05:23.629481+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,201,200
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:05:29.635424+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,200,1200
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:05:29.644353+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,201,500
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:12:22.745619+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,200,2600
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:12:23.749088+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,201,200
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:12:35.752786+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,200,1200
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:12:35.761931+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,201,500
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:26:28.744067+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,200,2400
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:26:29.748386+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,201,200
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:26:47.752764+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,200,1200
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:26:47.762297+00:00,correlation_logs,forced_write,Stage 2 - ICS Impact,Impair Process Control,T0855,Unauthorized Command Message,Modbus,Level 2,172.22.0.2,6,0.0,0.0,201,500
